location,date,new_cases,new_deaths,population,aged_65_older_percent,gdp_per_capita,hospital_beds_per_thousand
Albania,5/1/2020,7,0,2877800,13.188,11803.431,2.89
Albania,5/2/2020,9,0,2877800,13.188,11803.431,2.89
Albania,5/3/2020,7,0,2877800,13.188,11803.431,2.89
Albania,5/4/2020,6,0,2877800,13.188,11803.431,2.89
Albania,5/5/2020,8,0,2877800,13.188,11803.431,2.89
Albania,5/6/2020,17,0,2877800,13.188,11803.431,2.89
Albania,5/7/2020,12,0,2877800,13.188,11803.431,2.89
Albania,5/8/2020,10,0,2877800,13.188,11803.431,2.89
Albania,5/9/2020,8,0,2877800,13.188,11803.431,2.89
Albania,5/10/2020,6,0,2877800,13.188,11803.431,2.89
Albania,5/11/2020,12,0,2877800,13.188,11803.431,2.89
Albania,5/12/2020,4,0,2877800,13.188,11803.431,2.89
Albania,5/13/2020,4,0,2877800,13.188,11803.431,2.89
Albania,5/14/2020,4,0,2877800,13.188,11803.431,2.89
Albania,5/15/2020,18,0,2877800,13.188,11803.431,2.89
Albania,5/16/2020,18,0,2877800,13.188,11803.431,2.89
Albania,5/17/2020,17,0,2877800,13.188,11803.431,2.89
Albania,5/18/2020,13,0,2877800,13.188,11803.431,2.89
Albania,5/19/2020,2,0,2877800,13.188,11803.431,2.89
Albania,5/20/2020,1,0,2877800,13.188,11803.431,2.89
Albania,5/21/2020,15,0,2877800,13.188,11803.431,2.89
Albania,5/22/2020,5,0,2877800,13.188,11803.431,2.89
Albania,5/23/2020,12,0,2877800,13.188,11803.431,2.89
Albania,5/24/2020,8,0,2877800,13.188,11803.431,2.89
Albania,5/25/2020,9,1,2877800,13.188,11803.431,2.89
Albania,5/26/2020,6,0,2877800,13.188,11803.431,2.89
Albania,5/27/2020,25,1,2877800,13.188,11803.431,2.89
Albania,5/28/2020,21,0,2877800,13.188,11803.431,2.89
Albania,5/29/2020,26,0,2877800,13.188,11803.431,2.89
Albania,5/30/2020,23,0,2877800,13.188,11803.431,2.89
Albania,5/31/2020,23,0,2877800,13.188,11803.431,2.89
Albania,6/1/2020,15,0,2877800,13.188,11803.431,2.89
Albania,6/2/2020,6,0,2877800,13.188,11803.431,2.89
Albania,6/3/2020,21,0,2877800,13.188,11803.431,2.89
Albania,6/4/2020,20,0,2877800,13.188,11803.431,2.89
Albania,6/5/2020,13,0,2877800,13.188,11803.431,2.89
Albania,6/6/2020,15,0,2877800,13.188,11803.431,2.89
Albania,6/7/2020,20,1,2877800,13.188,11803.431,2.89
Albania,6/8/2020,14,0,2877800,13.188,11803.431,2.89
Albania,6/9/2020,17,0,2877800,13.188,11803.431,2.89
Albania,6/10/2020,36,0,2877800,13.188,11803.431,2.89
Algeria,12/31/2019,0,0,43851043,6.211,13913.839,1.9
Algeria,1/1/2020,0,0,43851043,6.211,13913.839,1.9
Algeria,1/2/2020,0,0,43851043,6.211,13913.839,1.9
Algeria,1/3/2020,0,0,43851043,6.211,13913.839,1.9
Algeria,1/4/2020,0,0,43851043,6.211,13913.839,1.9
Algeria,1/5/2020,0,0,43851043,6.211,13913.839,1.9
Algeria,1/6/2020,0,0,43851043,6.211,13913.839,1.9
Algeria,1/7/2020,0,0,43851043,6.211,13913.839,1.9
Algeria,1/8/2020,0,0,43851043,6.211,13913.839,1.9
Algeria,1/9/2020,0,0,43851043,6.211,13913.839,1.9
Algeria,1/10/2020,0,0,43851043,6.211,13913.839,1.9
Algeria,1/11/2020,0,0,43851043,6.211,13913.839,1.9
Algeria,1/12/2020,0,0,43851043,6.211,13913.839,1.9
Algeria,1/13/2020,0,0,43851043,6.211,13913.839,1.9
